Year,Month,month_year_fmt,month_year_period,SAIDI_TARGET,SAIDI,CAIDI,CAIDI_TARGET,SAIFI
2023,July,2023-07,2023-07,5,5.5,2.0,3.5,2.81
2023,August,2023-08,2023-08,5,8.6,2.6,3.5,3.28
2023,September,2023-09,2023-09,5,11.1,2.2,3.5,4.99
2023,October,2023-10,2023-10,5,8.1,2.2,3.5,3.64
2023,November,2023-11,2023-11,5,10.7,2.4,3.5,4.5
2023,December,2023-12,2023-12,5,8.9,2.3,3.5,3.97
2024,January,2024-01,2024-01,5,8.8,2.5,3.5,3.44
2024,February,2024-02,2024-02,5,9.3,2.3,3.5,4.0
2024,March,2024-03,2024-03,5,11.4,2.6,3.5,4.36
2024,April,2024-04,2024-04,5,17.3,3.4,3.5,5.03
2024,May,2024-05,2024-05,5,13.9,3.1,3.5,4.51
2024,June,2024-06,2024-06,5,8.0,2.7,3.5,3.01
2024,July,2024-07,2024-07,5,8.77,2.519,3.5,3.48
2024,August,2024-08,2024-08,5,7.44,2.456,3.5,3.03
2024,September,2024-09,2024-09,5,9.3,2.493,3.5,3.73
2024,October,2024-10,2024-10,5,8.86,2.422,3.5,3.66
2024,November,2024-11,2024-11,5,10.26,2.79,3.5,3.81
2024,December,2024-12,2024-12,5,9.92,2.67,3.5,3.72
